LOCATION,FACING,FLOOR,BEDROOM,BATHROOM,LAND AREA (sqft),ROAD ACCESS (ft),PROPERTY AGE,HAS_PARKING,HAS_BALCONY,HAS_GARDEN,HAS_MODULAR_KITCHEN,AREA_PER_BEDROOM,TOTAL_ROOMS,IS_NEW
"Kalanki, Kathmandu",south-east,2.0,4.0,3.0,787.175,13.0,6.0,0,1,0,0,196.79375,7.0,0
"Chandragiri, Kathmandu",east,2.5,8.0,4.0,1095.2,10.0,26.0,1,0,0,0,136.9,12.0,0
"Phutung, Kathmandu",west,3.0,5.0,3.0,1437.45,18.0,8.0,1,0,0,0,287.49,8.0,0
"Bhaisepati, Lalitpur",south,3.5,4.0,4.0,1711.25,16.0,6.0,1,1,0,0,427.8125,8.0,0
"Deuwa chowk, Kathmandu",south,2.5,4.0,5.0,2395.75,14.0,17.0,1,1,0,0,598.9375,9.0,0
"Sitapaila, Kathmandu",north,2.5,4.0,5.0,1711.25,13.0,5.0,1,0,0,0,427.8125,9.0,0
"Imadol, Lalitpur",south,2.5,4.0,3.0,1369.0,13.0,3.0,1,1,0,0,342.25,7.0,0
"Bhaisepati, Lalitpur",south,2.0,4.0,4.0,1711.25,16.0,6.0,1,0,0,0,427.8125,8.0,0
"Imadol, Lalitpur",east,2.5,5.0,5.0,2395.75,20.0,4.0,1,1,0,0,479.15,10.0,0
"Hattigaunda, Kathmandu",east,2.5,5.0,5.0,2121.9500000000003,15.0,19.0,1,0,0,0,424.39000000000004,10.0,0
"Gwarko, Lalitpur",west,3.5,4.0,4.0,1026.75,13.0,3.0,0,1,0,0,256.6875,8.0,0
"Sanobharyang, Kathmandu",east,2.5,4.0,4.0,1437.45,20.0,6.0,1,0,1,0,359.3625,8.0,0
"Thankot, Kathmandu",east,1.0,5.0,4.0,1369.0,13.0,14.0,1,0,0,0,273.8,9.0,0
"Bhaisepati, Lalitpur",north,2.5,4.0,5.0,1095.2,13.0,8.0,1,0,0,0,273.8,9.0,0
"Gaurighat, Kathmandu",south,5.0,9.0,7.0,2395.75,10.0,5.0,1,0,0,0,266.19444444444446,16.0,0
"Shankhamul, Kathmandu",south,4.5,6.0,5.0,1369.0,15.0,16.0,1,0,0,0,228.16666666666666,11.0,0
"Thamel, Kathmandu",south-east,2.5,5.0,3.0,1026.75,13.0,32.0,1,0,1,0,205.35,8.0,0
"Budhanilkantha, Kathmandu",north,2.5,5.0,5.0,2053.5,12.0,6.0,1,1,1,0,410.7,10.0,0
"Jhamsikhel, Lalitpur",east,2.5,4.0,4.0,1026.75,20.0,9.0,1,0,0,0,256.6875,8.0,0
"Imadol, Lalitpur",north-west,3.0,5.0,5.0,1129.425,16.0,7.0,1,1,0,1,225.885,10.0,0
"Harisiddhi, Lalitpur",south,2.5,5.0,3.0,1095.2,20.0,4.0,1,0,1,1,219.04000000000002,8.0,0
"Tokha, Kathmandu",south,3.0,5.0,3.0,1026.75,11.0,7.0,1,0,0,0,205.35,8.0,0
"Hattigaunda, Kathmandu",north-east,2.5,7.0,5.0,2053.5,14.0,7.0,0,0,1,1,293.35714285714283,12.0,0
"Bhaisepati, Lalitpur",south,2.0,3.0,4.0,1437.45,13.5,12.0,1,0,0,0,479.15000000000003,7.0,0
"Sinamangal, Kathmandu",west,2.5,5.0,5.0,1779.7,13.0,8.0,1,0,0,0,355.94,10.0,0
"Srijana Chowk, Kathmandu",east,2.5,5.0,3.0,1129.425,8.0,10.0,1,0,0,0,225.885,8.0,0
"Greenhill City, Kathmandu",west,4.5,8.0,4.0,1369.0,11.0,6.0,1,1,0,1,171.125,12.0,0
"Imadol, Lalitpur",north,3.5,5.0,5.0,1026.75,13.0,6.0,1,0,0,0,205.35,10.0,0
"Bhangal , Kathmandu",south,2.5,5.0,4.0,1711.25,13.0,8.0,1,0,0,0,342.25,9.0,0
"Bansbari, Kathmandu",south,2.5,4.0,5.0,1471.675,12.0,6.0,1,0,0,0,367.91875,9.0,0
"Ekatabasti, Kathmandu",north-east,2.5,4.0,4.0,1369.0,13.0,7.0,1,0,0,0,342.25,8.0,0
"Goldhunga, Kathmandu",south,2.0,5.0,4.0,1026.75,13.0,17.0,1,0,0,0,205.35,9.0,0
"Mandikhatar, Kathmandu",north-east,2.5,6.0,3.0,2738.0,13.0,24.0,1,0,1,1,456.3333333333333,9.0,0
"Bhaisepati, Lalitpur",north-west,2.5,4.0,3.0,1095.2,13.0,8.0,1,0,0,0,273.8,7.0,0
"Bhaisepati, Lalitpur",north-west,2.5,5.0,5.0,1095.2,16.0,5.0,0,0,0,0,219.04000000000002,10.0,0
"Gwarko, Lalitpur",south,3.5,6.0,5.0,1437.45,14.0,8.0,1,0,1,1,239.57500000000002,11.0,0
"Golfutar, Kathmandu",east,2.5,6.0,4.0,1369.0,18.0,14.0,1,0,0,0,228.16666666666666,10.0,0
"Budhanilkantha, Kathmandu",north,2.5,5.0,5.0,1711.25,15.0,9.0,1,0,0,0,342.25,10.0,0
"Baluwatar, Kathmandu",west,2.5,5.0,3.0,2053.5,25.0,12.0,1,0,1,0,410.7,8.0,0
"Khumaltar, Lalitpur",north-east,2.5,6.0,4.0,2053.5,22.0,7.0,1,0,0,0,342.25,10.0,0
"Mandikhatar, Kathmandu",east,2.5,6.0,4.0,1711.25,13.0,4.0,1,0,0,0,285.2083333333333,10.0,0
"Imadol, Lalitpur",east,2.5,4.0,2.0,1129.425,13.0,4.0,1,0,0,0,282.35625,6.0,0
"Imadol, Lalitpur",south,2.5,4.0,2.0,1060.975,16.0,6.0,1,1,0,0,265.24375,6.0,0
"Budhanilkantha, Kathmandu",north,2.5,6.0,4.0,1711.25,13.0,11.0,1,0,0,0,285.2083333333333,10.0,0
"Kapan, Kathmandu",north-west,2.5,5.0,4.0,1369.0,13.0,6.0,1,0,0,0,273.8,9.0,0
"Thankot, Kathmandu",south,1.5,4.0,2.0,1369.0,13.0,3.0,1,0,0,0,342.25,6.0,0
"Ochu Height, Lalitpur",west,2.5,6.0,5.0,1369.0,16.0,10.0,1,0,0,0,228.16666666666666,11.0,0
"Jorpati, Kathmandu",south,2.5,5.0,3.0,1095.2,10.0,21.0,1,0,0,1,219.04000000000002,8.0,0
"Tokha, Kathmandu",north,2.5,3.0,3.0,2053.5,15.0,7.0,0,1,0,0,684.5,6.0,0
"Sitapaila, Kathmandu",west,2.5,4.0,3.0,1026.75,13.0,8.0,1,1,0,0,256.6875,7.0,0
"Manamaiju, Kathmandu",south,3.5,9.0,4.0,1369.0,12.0,4.0,1,0,0,0,152.11111111111111,13.0,0
"Golfutar, Kathmandu",east,2.5,6.0,3.0,1745.475,12.0,10.0,1,0,0,0,290.91249999999997,9.0,0
"Imadol, Lalitpur",south,2.5,4.0,4.0,1060.975,13.0,13.0,1,1,0,0,265.24375,8.0,0
"Narayanthan , Kathmandu",west,2.5,4.0,6.0,1369.0,20.0,16.0,1,1,1,0,342.25,10.0,0
"Hattiban, Lalitpur",south,2.0,5.0,4.0,2053.5,20.0,4.0,1,1,0,1,410.7,9.0,0
"Grande Villa, Kathmandu",north,2.5,4.0,3.0,1369.0,26.0,12.0,1,0,0,0,342.25,7.0,0
"Kageshwori, Kathmandu",east,2.0,3.0,3.0,752.95,13.0,12.0,0,0,0,1,250.98333333333335,6.0,0
"Ichangu Narayan, Kathmandu",west,2.5,4.0,4.0,752.95,9.0,6.0,0,0,0,0,188.2375,8.0,0
"Pasikot, Kathmandu",south-east,2.5,5.0,4.0,2053.5,13.0,5.0,1,0,1,0,410.7,9.0,0
"Setipakha, Lalitpur",north-east,2.5,4.0,4.0,1060.975,13.0,18.0,1,0,0,0,265.24375,8.0,0
"Lasuntar, Kathmandu",east,2.5,4.0,3.0,1403.225,13.0,6.0,1,0,0,1,350.80625,7.0,0
"Imadol, Lalitpur",south,2.5,5.0,4.0,1129.425,13.0,8.0,1,0,0,0,225.885,9.0,0
"Syuchatar, Kathmandu",south,2.5,4.0,4.0,1369.0,20.0,12.0,0,0,0,0,342.25,8.0,0
"Imadol, Lalitpur",north,2.5,5.0,4.0,1403.225,13.0,3.0,1,0,0,0,280.645,9.0,0
"Manigram, Rupandehi",south-east,2.5,5.0,4.0,1369.0,40.0,7.0,1,0,0,0,273.8,9.0,0
"Sitapaila, Kathmandu",south,2.5,4.0,3.0,1437.45,16.0,10.0,1,0,1,0,359.3625,7.0,0
"Imadol, Lalitpur",south-west,3.5,5.0,4.0,992.525,13.0,6.0,1,1,0,0,198.505,9.0,0
"Chandragiri, Kathmandu",east,2.0,3.0,3.0,1129.425,20.0,4.0,1,1,0,0,376.47499999999997,6.0,0
"Sitapaila, Kathmandu",south,2.5,4.0,3.0,2395.75,13.0,6.0,1,0,0,0,598.9375,7.0,0
"Nakkhu, Lalitpur",north-east,3.0,5.0,3.0,1403.225,10.0,23.0,1,0,0,0,280.645,8.0,0
"Imadol, Lalitpur",north-east,2.5,6.0,4.0,1026.75,13.0,10.0,1,1,0,0,171.125,10.0,0
"Budhanilkantha, Kathmandu",east,3.0,7.0,4.0,2669.55,12.0,11.0,1,0,1,0,381.36428571428576,11.0,0
"Koteshwor, Kathmandu",north,2.5,6.0,4.0,1026.75,26.0,4.0,1,0,0,0,171.125,10.0,0
"Dhungeadda, Kathmandu",north,2.5,5.0,4.0,1197.875,13.0,4.0,1,0,1,0,239.575,9.0,0
"Budhanilkantha, Kathmandu",east,2.5,6.0,3.0,1060.975,12.0,12.0,0,1,1,1,176.82916666666665,9.0,0
"Tikathali, Lalitpur",south,2.5,4.0,4.0,1369.0,13.0,8.0,1,1,0,0,342.25,8.0,0
"Balkot, Bhaktapur",south,3.5,4.0,4.0,2053.5,10.0,4.0,1,0,0,0,513.375,8.0,0
"Bhaisepati, Lalitpur",south-east,3.5,5.0,7.0,1095.2,12.0,4.0,1,1,0,0,219.04000000000002,12.0,0
"Pasikot, Kathmandu",east,2.5,5.0,6.0,1779.7,20.0,23.0,1,0,0,1,355.94,11.0,0
"Imadol, Lalitpur",west,2.5,4.0,4.0,1197.875,12.0,11.0,1,0,0,1,299.46875,8.0,0
"Buddha Chowk, Kathmandu",west,2.5,4.0,5.0,1026.75,10.0,17.0,1,0,0,0,256.6875,9.0,0
"Bhaisepati, Lalitpur",west,3.5,4.0,5.0,2053.5,13.0,12.0,1,0,0,0,513.375,9.0,0
"Imadol, Lalitpur",east,2.5,6.0,4.0,1369.0,16.0,13.0,1,1,0,0,228.16666666666666,10.0,0
"Imadol, Lalitpur",west,2.5,5.0,4.0,1095.2,20.0,14.0,1,0,1,0,219.04000000000002,9.0,0
"Dadhikot, Bhaktapur",east,2.5,4.0,3.0,1711.25,10.0,7.0,1,1,1,0,427.8125,7.0,0
"Koteshwor, Kathmandu",east,4.5,6.0,5.0,1369.0,26.0,7.0,0,0,0,0,228.16666666666666,11.0,0
"Sanepa, Lalitpur",north-east,3.0,6.0,5.0,1711.25,16.0,4.0,1,1,0,1,285.2083333333333,11.0,0
"Sundarbasti, Kathmandu",north,2.5,5.0,5.0,1060.975,13.0,11.0,1,0,0,0,212.195,10.0,0
"Sitapaila, Kathmandu",south-east,2.5,3.0,3.0,752.95,13.0,7.0,1,0,0,1,250.98333333333335,6.0,0
"Basundhara, Kathmandu",north,2.5,4.0,4.0,1779.7,16.0,4.0,1,0,0,0,444.925,8.0,0
"Dhapasi, Kathmandu",north-east,2.5,5.0,4.0,2395.75,13.0,4.0,1,0,1,0,479.15,9.0,0
"Bhangal , Kathmandu",east,3.0,5.0,4.0,1369.0,13.0,8.0,1,0,0,0,273.8,9.0,0
"Naxal, Kathmandu",west,2.5,3.0,3.0,1369.0,13.0,22.0,1,1,0,1,456.3333333333333,6.0,0
"Baneshwor, Kathmandu",south-east,3.5,5.0,4.0,1369.0,14.0,11.0,1,0,0,1,273.8,9.0,0
"Baluwatar, Kathmandu",south,3.5,8.0,10.0,2053.5,10.0,6.0,1,1,1,0,256.6875,18.0,0
"Pepsicola, Kathmandu",east,2.5,6.0,3.0,1095.2,20.0,5.0,1,0,0,0,182.53333333333333,9.0,0
"Imadol, Lalitpur",west,2.5,6.0,2.0,787.175,13.0,22.0,1,0,0,0,131.19583333333333,8.0,0
"Tyanglafat, Kathmandu",north-east,2.5,7.0,4.0,1026.75,10.0,17.0,1,0,0,0,146.67857142857142,11.0,0
" Sitapaila-5,  Kathmandu",east,2.5,5.0,4.0,1197.875,13.0,4.0,1,1,1,1,239.575,9.0,0
 undefined,east,2.5,6.0,4.0,1129.425,13.0,22.0,1,0,0,0,188.23749999999998,10.0,0
"Ganesh Chowk, Kathmandu",south,2.5,4.0,4.0,1437.45,13.0,7.0,1,0,0,0,359.3625,8.0,0
"Baluwakhani, Kathmandu",west,2.5,6.0,4.0,1095.2,10.0,14.0,1,1,0,0,182.53333333333333,10.0,0
"Imadol, Lalitpur",west,2.5,4.0,3.0,1095.2,13.0,13.0,1,1,0,0,273.8,7.0,0
"Balkhu, Kathmandu",east,2.5,4.0,4.0,1095.2,20.0,27.0,1,1,0,1,273.8,8.0,0
"Radhe Radhe, Bhaktapur",south-east,2.5,6.0,3.0,2738.0,16.0,17.0,1,0,1,0,456.3333333333333,9.0,0
"Mandikhatar, Kathmandu",west,3.0,5.0,4.0,1060.975,16.0,5.0,1,0,0,0,212.195,9.0,0
"Budhanilkantha, Kathmandu",east,2.5,5.0,4.0,1095.2,10.0,3.0,1,0,0,0,219.04000000000002,9.0,0
"Budhanilkantha, Kathmandu",west,2.5,4.0,6.0,3148.7,20.0,16.0,1,0,0,0,787.175,10.0,0
"Sundarbasti, Kathmandu",north-east,2.5,5.0,3.0,1711.25,13.0,19.0,0,0,0,0,342.25,8.0,0
"Dallu, Kathmandu",east,4.5,5.0,4.0,3080.25,12.0,8.0,1,0,0,0,616.05,9.0,0
"Paknajol, Kathmandu",north,3.0,6.0,4.0,3080.25,10.0,7.0,1,0,1,0,513.375,10.0,0
"Tikathali, Lalitpur",north,2.5,7.0,4.0,1369.0,13.0,9.0,1,1,0,0,195.57142857142858,11.0,0
"Godawari, Lalitpur",north,2.5,4.0,4.0,1369.0,16.0,6.0,1,0,1,0,342.25,8.0,0
"Syuchatar, Kathmandu",north-west,3.0,4.0,2.0,1026.75,10.0,10.0,1,0,0,0,256.6875,6.0,0
"Satdobato, Lalitpur",west,4.5,5.0,6.0,1026.75,10.0,6.0,1,0,0,1,205.35,11.0,0
"Satdobato, Lalitpur",north,2.5,6.0,4.0,3080.25,20.0,11.0,1,0,1,0,513.375,10.0,0
"Kusunti, Lalitpur",south-west,2.5,4.0,4.0,1779.7,15.0,6.0,1,0,0,1,444.925,8.0,0
"Budhanilkantha, Kathmandu",south,2.5,5.0,4.0,1403.225,20.0,7.0,1,0,0,0,280.645,9.0,0
"Bafal, Kathmandu",south,3.5,7.0,4.0,1779.7,16.5,8.0,0,0,0,0,254.24285714285716,11.0,0
"Imadol, Lalitpur",south,2.0,4.0,2.0,752.95,13.0,7.0,1,1,1,1,188.2375,6.0,0
"Lainchaur, Kathmandu",south,2.5,8.0,4.0,2738.0,8.0,9.0,1,1,1,0,342.25,12.0,0
"Hattiban, Lalitpur",north,2.5,4.0,4.0,752.95,12.0,4.0,1,1,0,1,188.2375,8.0,0
"Machhapokhari, Kathmandu",south-east,3.5,6.0,4.0,2738.0,10.5,24.0,1,0,0,0,456.3333333333333,10.0,0
"Satdobato, Lalitpur",east,2.5,4.0,3.0,1026.75,13.0,3.0,1,0,0,0,256.6875,7.0,0
"Gokarna, Kathmandu",west,3.5,6.0,3.0,1369.0,32.0,7.0,1,0,0,0,228.16666666666666,9.0,0
"Imadol, Lalitpur",north,2.5,5.0,4.0,1060.975,13.0,18.0,1,0,0,0,212.195,9.0,0
"Imadol, Lalitpur",north,2.5,5.0,5.0,1369.0,13.0,6.0,1,0,0,0,273.8,10.0,0
"Bhangal , Kathmandu",west,2.5,7.0,5.0,1437.45,13.0,3.0,1,1,0,0,205.35,12.0,0
"Birendra Chowk, Kathmandu",south,2.5,5.0,4.0,1437.45,13.0,2.0,1,0,0,0,287.49,9.0,1
"Mulpani, Kathmandu",west,2.5,5.0,3.0,1026.75,8.0,20.0,1,0,0,0,205.35,8.0,0
"Ekantakuna, Lalitpur",south-east,2.5,6.0,3.0,1711.25,13.0,22.0,1,0,0,0,285.2083333333333,9.0,0
"Imadol, Lalitpur",south,2.5,2.0,3.0,1060.975,14.0,7.0,1,0,0,0,530.4875,5.0,0
"Manabahadur Marga, Kathmandu",west,3.5,5.0,6.0,1369.0,20.0,7.0,1,0,1,0,273.8,11.0,0
"Harisiddhi, Lalitpur",south,2.5,3.0,4.0,1026.75,20.0,14.0,1,1,0,0,342.25,7.0,0
"Khumaltar, Lalitpur",north-west,3.5,6.0,6.0,1711.25,14.0,4.0,1,1,0,0,285.2083333333333,12.0,0
"Saraswotinagar, Kathmandu",west,2.0,3.0,2.0,1026.75,27.0,6.0,1,0,0,0,342.25,5.0,0
"New Road, Kathmandu",south,7.0,5.0,4.0,1369.0,13.0,20.0,0,0,0,0,273.8,9.0,0
"Mandikhatar, Kathmandu",east,2.5,7.0,5.0,1403.225,13.0,12.0,1,0,0,0,200.46071428571426,12.0,0
"Khusibu Town Planning, Kathmandu",west,2.5,4.0,3.0,1369.0,26.0,17.0,0,0,0,1,342.25,7.0,0
"Hattigaunda, Kathmandu",south,2.5,7.0,6.0,2738.0,13.0,10.0,0,0,0,1,391.14285714285717,13.0,0
"Sukedhara, Kathmandu",south,2.5,4.0,4.0,1369.0,12.0,5.0,1,0,0,0,342.25,8.0,0
" Chandagiri,  Kathmandu",north,3.5,6.0,5.0,1745.475,13.0,4.0,0,0,0,1,290.91249999999997,11.0,0
"Sukedhara, Kathmandu",south,2.5,5.0,4.0,1026.75,20.0,14.0,0,0,0,0,205.35,9.0,0
"Kalikasthan, Kathmandu",north-west,5.5,8.0,8.0,1369.0,15.0,4.0,1,0,0,0,171.125,16.0,0
"Bhaisepati, Lalitpur",east,3.5,8.0,4.0,1711.25,10.0,24.0,1,0,0,0,213.90625,12.0,0
"Samakhushi chowk, Kathmandu",south-west,2.5,4.0,3.0,1711.25,16.5,11.0,1,0,1,1,427.8125,7.0,0
"Balaju, Kathmandu",west,2.5,6.0,3.0,3114.475,10.0,11.0,0,0,0,0,519.0791666666667,9.0,0
"Bhutkhel , Kathmandu",west,3.0,7.0,3.0,1369.0,20.0,22.0,1,0,0,0,195.57142857142858,10.0,0
"Imadol, Lalitpur",south-west,3.5,7.0,4.0,1026.75,13.0,6.0,1,1,0,0,146.67857142857142,11.0,0
"Grande Villa, Kathmandu",east,2.5,5.0,5.0,1779.7,21.0,6.0,1,0,0,0,355.94,10.0,0
"Kadaghari, Kathmandu",south-west,2.5,6.0,3.0,1026.75,13.0,4.0,1,0,0,0,171.125,9.0,0
"Boharatar, Kathmandu",east,2.0,5.0,2.0,1026.75,13.0,7.0,1,0,0,0,205.35,7.0,0
"Gongabu, Kathmandu",north-east,2.5,5.0,4.0,1026.75,12.0,3.0,1,1,0,0,205.35,9.0,0
"Kharibot, Kathmandu",south,2.5,5.0,4.0,1403.225,15.0,8.0,0,0,0,0,280.645,9.0,0
"Bansbari, Kathmandu",east,2.5,6.0,4.0,2738.0,20.0,6.0,1,0,0,0,456.3333333333333,10.0,0
"Imadol, Lalitpur",east,3.0,5.0,5.0,1095.2,13.0,3.0,1,1,0,0,219.04000000000002,10.0,0
"Bhaisepati, Lalitpur",north-east,2.5,5.0,5.0,1711.25,13.0,5.0,1,0,0,0,342.25,10.0,0
"Kapan, Kathmandu",west,2.5,4.0,3.0,1369.0,16.0,11.0,1,1,0,1,342.25,7.0,0
"Goldhunga, Kathmandu",east,2.5,4.0,3.0,1026.75,16.0,6.0,1,0,0,0,256.6875,7.0,0
"Bistachhap, Lalitpur",east,2.5,4.0,3.0,3148.7,20.0,24.0,1,0,0,0,787.175,7.0,0
"Imadol, Lalitpur",south-west,2.5,4.0,4.0,1129.425,13.0,10.0,1,0,0,0,282.35625,8.0,0
"Budhanilkantha, Kathmandu",west,2.5,9.0,6.0,2395.75,15.0,10.0,1,0,0,0,266.19444444444446,15.0,0
"Imadol, Lalitpur",east,2.5,4.0,4.0,1471.675,20.0,4.0,1,0,1,0,367.91875,8.0,0
"Gahana Pokhari, Kathmandu",south,2.0,6.0,5.0,2156.175,11.0,7.0,1,0,0,0,359.3625,11.0,0
"Budhanilkantha, Kathmandu",south,2.5,4.0,4.0,1369.0,20.0,12.0,1,0,0,0,342.25,8.0,0
"Srijananagar, Bhaktapur",north-west,3.0,7.0,3.0,1095.2,20.0,13.0,1,0,0,1,156.45714285714286,10.0,0
"Chandragiri, Kathmandu",south,2.5,5.0,4.0,5202.2,14.0,15.0,1,0,1,0,1040.44,9.0,0
"Manamaiju, Kathmandu",south-east,3.5,4.0,3.0,3114.475,13.0,12.0,1,1,1,0,778.61875,7.0,0
"Sanepa, Lalitpur",north-west,2.5,5.0,3.0,1711.25,10.0,4.0,1,0,0,1,342.25,8.0,0
"Imadol, Lalitpur",south,2.5,5.0,4.0,1369.0,13.0,6.0,1,0,1,0,273.8,9.0,0
"Thulobharyang, Kathmandu",west,2.5,4.0,3.0,1026.75,13.0,8.0,1,0,0,0,256.6875,7.0,0
"Sitapaila, Kathmandu",south,2.5,5.0,3.0,1711.25,13.0,6.0,1,1,1,0,342.25,8.0,0
"Sitapaila, Kathmandu",south-east,3.5,8.0,7.0,2806.45,12.0,14.0,1,1,0,0,350.80625,15.0,0
"Hepali Height, Kathmandu",east,2.5,5.0,4.0,1369.0,15.0,7.0,1,0,0,0,273.8,9.0,0
"Bhaisepati, Lalitpur",east,3.0,4.0,4.0,1711.25,13.0,6.0,1,1,0,0,427.8125,8.0,0
"Tikathali, Lalitpur",north-east,1.0,2.0,1.0,1060.975,13.0,11.0,1,0,0,0,530.4875,3.0,0
"Jyotinagar, Kathmandu",south,2.5,7.0,4.0,1095.2,13.0,4.0,1,0,0,0,156.45714285714286,11.0,0
"Imadol, Lalitpur",west,2.5,4.0,4.0,1369.0,13.0,6.0,1,0,0,0,342.25,8.0,0
"Tindhara, Kathmandu",north,2.5,6.0,5.0,1026.75,26.0,12.0,1,0,0,0,171.125,11.0,0
"Lakeside, Kaski",south,4.0,10.0,8.0,2806.45,15.0,7.0,0,0,0,0,280.645,18.0,0
"Jharuwarasi, Lalitpur",north-west,2.5,3.0,2.0,1471.675,20.0,14.0,1,0,0,0,490.55833333333334,5.0,0
"Gothatar, Kathmandu",south,2.5,5.0,3.0,1026.75,10.0,4.0,1,0,0,1,205.35,8.0,0
"Golfutar, Kathmandu",west,2.5,5.0,4.0,2087.725,14.0,4.0,0,0,1,1,417.54499999999996,9.0,0
"Taukhel, Lalitpur",west,3.0,5.0,3.0,1369.0,12.0,6.0,1,1,0,0,273.8,8.0,0
"Changathali, Lalitpur",east,2.5,4.0,3.0,1026.75,14.0,8.0,1,0,0,0,256.6875,7.0,0
"Imadol, Lalitpur",north,2.5,4.0,3.0,787.175,13.0,4.0,1,0,1,0,196.79375,7.0,0
"Imadol, Lalitpur",north-west,2.5,4.0,4.0,1060.975,20.0,6.0,1,1,0,0,265.24375,8.0,0
"Imadol, Lalitpur",east,2.5,4.0,4.0,1026.75,20.0,12.0,1,0,0,0,256.6875,8.0,0
"Bhaisepati, Lalitpur",south-west,2.5,4.0,4.0,1129.425,20.0,6.0,1,1,1,0,282.35625,8.0,0
"Budhanilkantha, Kathmandu",south-east,2.5,6.0,6.0,1711.25,15.0,22.0,1,0,0,0,285.2083333333333,12.0,0
"Basundhara, Kathmandu",south-east,3.5,5.0,4.0,1026.75,10.0,7.0,1,0,0,0,205.35,9.0,0
"Budhanilkantha, Kathmandu",south-west,2.0,6.0,5.0,1711.25,14.0,6.0,1,1,0,0,285.2083333333333,11.0,0
"Budhanilkantha, Kathmandu",north-west,2.5,5.0,6.0,1711.25,15.0,17.0,1,0,0,0,342.25,11.0,0
"Tikathali, Lalitpur",north-east,3.0,6.0,6.0,1095.2,13.0,9.0,1,1,0,0,182.53333333333333,12.0,0
"Khumaltar, Lalitpur",east,2.5,3.0,4.0,1095.2,13.0,22.0,1,0,0,0,365.06666666666666,7.0,0
"Imadol, Lalitpur",south,3.0,5.0,4.0,1095.2,13.0,7.0,1,0,0,1,219.04000000000002,9.0,0
"Kapan, Kathmandu",east,2.5,5.0,4.0,1095.2,13.0,6.0,0,0,0,0,219.04000000000002,9.0,0
"Imadol, Lalitpur",east,2.5,4.0,3.0,1471.675,20.0,8.0,1,1,1,0,367.91875,7.0,0
"Imadol, Lalitpur",east,3.5,6.0,4.0,1026.75,13.0,8.0,1,1,0,0,171.125,10.0,0
"Lele, Lalitpur",south-east,2.5,4.0,3.0,2190.4,20.0,14.0,1,1,1,1,547.6,7.0,0
"Sukedhara, Kathmandu",north,2.5,4.0,4.0,752.95,13.0,6.0,1,0,0,0,188.2375,8.0,0
"Khumaltar, Lalitpur",south,3.0,3.0,4.0,1711.25,13.0,13.0,1,0,0,0,570.4166666666666,7.0,0
"Imadol, Lalitpur",west,3.0,5.0,3.0,1060.975,13.0,5.0,1,1,0,1,212.195,8.0,0
